trial,k,members,ndcg5,recall1,recall5,mean_booked_rank,n_queries,n_booked
133,8,"A11,A2,B1,B3,E1,E7,F8,I6",0.425375223594903,0.25576474022183304,0.6447022767075307,5.906450671336836,19979,13704
246,10,"A13,A5,B1,B7,C11,C6,E1,E3,E6,H2",0.42536784940042394,0.2555458260361938,0.6456509048453006,5.9019264448336255,19979,13704
288,4,"B3,C6,E3,E7",0.4253577292111901,0.2564944541739638,0.6460887332165791,5.898569760653824,19979,13704
101,6,"A11,B10,B3,C11,E6,I6",0.4253514210948575,0.2548161120840631,0.6466725043782837,5.909734384121425,19979,13704
39,5,"A13,D14,E7,F8,I3",0.4253511650506471,0.25707822533566843,0.6457238762405137,5.905137186223,19979,13704
427,10,"A1,A6,B1,C11,C9,E1,E9,F13,F8,I3",0.4253499311239868,0.2562025685931115,0.6454319906596614,5.909807355516637,19979,13704
359,7,"A2,A5,B3,B7,B9,F1,F13",0.4253436968426413,0.25532691185055456,0.6455049620548745,5.9154261529480445,19979,13704
323,7,"B7,D11,D4,E1,E7,F1,I6",0.42533919167471207,0.25569176882662,0.6456509048453006,5.900175131348512,19979,13704
218,9,"A1,A6,B1,E10,E3,E7,E9,F13,I3",0.4253295525827177,0.2564944541739638,0.6449941622883829,5.909004670169294,19979,13704
408,10,"A2,A5,B1,B6,B9,C9,D11,D4,E1,E9",0.4253280320523307,0.25561879743140686,0.6443374197314653,5.904334500875657,19979,13704
381,6,"B3,C11,D11,D4,E1,I3",0.42531877467593104,0.2577349678925861,0.6448482194979568,5.902145359019264,19979,13704
87,10,"A11,A6,C8,D4,E1,E10,E4,E7,F1,I1",0.42530461382345525,0.25605662580268534,0.6465995329830706,5.905647985989492,19979,13704
195,6,"A13,C6,E1,E3,E4,I6",0.4253045092496836,0.25678633975481613,0.6449211908931699,5.900467016929364,19979,13704
85,9,"A2,B3,B6,D11,E1,E10,E3,F1,I1",0.4253013453857466,0.2555458260361938,0.645942790426153,5.9030939871570345,19979,13704
326,5,"A6,B3,E1,E6,F13",0.4252987869167784,0.25634851138353765,0.645942790426153,5.922139521307647,19979,13704
279,10,"A1,A13,A2,A5,B9,C9,D4,E1,E7,F2",0.4252913727992466,0.2558377116170461,0.6452130764740222,5.91082895504962,19979,13704
208,8,"B10,B3,B7,D11,D14,E10,E4,I1",0.4252874991545217,0.2549620548744892,0.6467454757734968,5.908493870402802,19979,13704
275,8,"A2,A5,A6,B10,B6,D11,E7,I3",0.42528028151697794,0.25634851138353765,0.6452860478692353,5.904699357851722,19979,13704
296,5,"B3,C9,D14,E9,F1",0.4252656234056679,0.2568593111500292,0.6452130764740222,5.9167396380618795,19979,13704
109,10,"A1,A11,A6,B3,B6,D11,E3,E6,E9,I6",0.4252634175306986,0.25605662580268534,0.6454319906596614,5.907326328079393,19979,13704
351,7,"A2,A5,A6,B1,D11,E4,E7",0.4252626816251676,0.2559836544074723,0.6453590192644484,5.91009924109749,19979,13704
230,10,"A13,A2,A5,B7,C9,E3,E4,E6,F1,I3",0.4252597953056917,0.25561879743140686,0.6453590192644484,5.904845300642148,19979,13704
294,8,"A5,B1,C11,E1,E4,E7,F8,I1",0.42525262052967866,0.25576474022183304,0.6448482194979568,5.902583187390543,19979,13704
68,6,"B1,B9,D4,E1,E4,E7",0.42525210344117337,0.2553998832457677,0.6442644483362522,5.905939871570345,19979,13704
224,5,"B1,B9,D11,E1,E7",0.42525179851323325,0.2558377116170461,0.645067133683596,5.909369527145359,19979,13704
494,5,"B7,B9,E1,E3,E7",0.42525167782864504,0.25488908347927614,0.6455049620548745,5.912361354349095,19979,13704
396,9,"A1,B7,C6,E1,E4,E7,F1,F8,I3",0.42525078556310664,0.2553998832457677,0.6448482194979568,5.909369527145359,19979,13704
358,4,"A1,B10,C6,E7",0.4252448291006578,0.25430531231757153,0.645942790426153,5.917907180385289,19979,13704
193,9,"B1,B3,C8,D14,E10,E4,E7,F13,I1",0.42524348057062716,0.2558377116170461,0.6452130764740222,5.901342673671921,19979,13704
455,5,"A2,B6,B7,E4,E9",0.4252433903933108,0.2558377116170461,0.6446293053123175,5.9019264448336255,19979,13704
200,7,"B1,B10,B9,C6,D4,F13,I6",0.42524263597857753,0.25503502626970226,0.6455049620548745,5.910537069468768,19979,13704
417,9,"A5,B7,D14,E3,E4,E6,F2,H2,I1",0.4252404708976576,0.2552539404553415,0.6449941622883829,5.908056042031523,19979,13704
7,6,"A11,A13,B1,B10,B6,B7",0.4252332725001721,0.2532107413893754,0.6449211908931699,5.918126094570928,19979,13704
245,10,"A2,B1,B10,C6,C8,D14,D4,E1,F8,H2",0.4252307706365232,0.2549620548744892,0.6452860478692353,5.90156158785756,19979,13704
123,9,"A1,B1,B3,C6,E3,F1,F13,H2,I3",0.42522136656984566,0.2555458260361938,0.6436806771745476,5.908858727378868,19979,13704
363,7,"A1,B1,E10,E3,E6,F13,I6",0.42521542645208016,0.25532691185055456,0.6453590192644484,5.90725335668418,19979,13704
127,8,"A13,B6,D11,E10,E3,E4,E7,H2",0.4252149580809153,0.2562025685931115,0.6439725627553999,5.899080560420315,19979,13704
166,9,"A5,B6,B7,C8,D14,E1,E10,E3,E9",0.4252126716241198,0.2564944541739638,0.6449941622883829,5.902656158785756,19979,13704
273,10,"A1,A11,A13,D11,E10,E3,F1,F13,F2,F8",0.42520692227589063,0.25488908347927614,0.646964389959136,5.913601868067717,19979,13704
142,9,"A1,B10,C9,D11,D14,F13,H2,I1,I3",0.4252015665328925,0.2558377116170461,0.6446293053123175,5.907326328079393,19979,13704
99,6,"A13,A6,B1,C6,E4,F1",0.4251954240464154,0.2548161120840631,0.6458698190309399,5.905866900175131,19979,13704
470,7,"A13,A6,B6,B7,C6,D14,I3",0.4251822307246646,0.25751605370694686,0.6428779918272037,5.899372446001167,19979,13704
252,3,"B10,B6,D4",0.42517289407752695,0.2537215411558669,0.645067133683596,5.913164039696439,19979,13704
311,5,"B10,B3,B7,D14,F2",0.4251642929195624,0.2543782837127846,0.6442644483362522,5.919293636894338,19979,13704
264,10,"A13,A2,B3,C11,E1,E10,E3,E6,E9,I1",0.4251632015673151,0.2570052539404553,0.6452860478692353,5.896307647402218,19979,13704
419,6,"A6,C9,E4,E9,F1,I3",0.4251631663854978,0.2565674255691769,0.6452860478692353,5.908420899007589,19979,13704
