config_name,label_gain,seed,num_leaves,learning_rate,best_iter_random,n_features,n_features_reported,random_ndcg5,temporal_ndcg5,temporal_recall1,temporal_recall5,temporal_mbr,delta_temporal_vs_anchor,delta_temporal_vs_random
E9,"0,2,15",456,400,0.03,322,143,143,0.4210925706952336,0.4749170473177181,0.3087730587730588,0.7080652080652081,4.938331188331189,0.07090704731771813,0.05382447662248452
A3,"0,2,20",456,400,0.03,318,143,143,0.4198580379403687,0.4740088650616545,0.30734305734305734,0.7076004576004576,4.941083941083941,0.06999886506165454,0.05415082712128583
C1,"0,2,15",42,400,0.03,287,143,143,0.419713877675565,0.4694191196437179,0.3027313027313027,0.7026669526669527,5.038073788073788,0.06540911964371793,0.0497052419681529
A10,"0,4,20",456,400,0.03,280,143,143,0.4204387529416504,0.46690894919655096,0.29958529958529956,0.6978049478049478,5.070713570713571,0.06289894919655098,0.046470196254900564
C10,"0,2,20",42,400,0.03,268,143,143,0.4197779309104616,0.4657662526662611,0.2982267982267982,0.6964464464464465,5.095988845988846,0.06175625266626111,0.04598832175579948
E5,"0,2,15",456,400,0.03,277,143,143,0.4198331838688213,0.46573770897430805,0.3005863005863006,0.6945516945516945,5.097740597740597,0.06172770897430807,0.04590452510548676
C4,"0,2,15",2024,400,0.03,250,143,143,0.4195416690699713,0.46278226928831023,0.2978692978692979,0.6924781924781925,5.158372658372659,0.05877226928831025,0.04324060021833892
B11,"0,2,20",456,400,0.03,133,143,143,0.4017235518145436,0.4595894103385405,0.28625053625053626,0.6912626912626912,5.117975117975118,0.055579410338540525,0.057865858523996894
B2,"0,2,15",456,400,0.03,125,143,143,0.401329553625538,0.45772781708167437,0.2847132847132847,0.6850421850421851,5.158765908765909,0.05371781708167439,0.056398263456136355
I2,"0,2,15",456,128,0.03,689,138,138,0.4201104829287231,0.45485552667329954,0.28664378664378665,0.6831474331474332,5.263585013585014,0.05084552667329956,0.03474504374457643
B8,"0,3,15",456,400,0.03,117,143,143,0.4007287099696336,0.45466469671749704,0.28142428142428144,0.6816101816101816,5.220935220935221,0.05065469671749706,0.05393598674786343
E8,"0,2,15",456,400,0.05,135,143,143,0.4188053512859919,0.4544803933260779,0.28575003575003577,0.6847561847561847,5.296403546403546,0.050470393326077945,0.035675042040086036
H1,,456,400,0.03,324,143,143,0.417660668127189,0.45262344302433155,0.29604604604604606,0.6803231803231803,5.3415558415558415,0.04861344302433157,0.03496277489714256
I5,"0,3,30",456,400,0.03,153,143,143,0.3960150803389419,0.44278588064685437,0.22697697697697697,0.5994565994565995,6.522272272272272,0.03877588064685439,0.046770800307912475
F7,"0,2,15",456,400,0.03,149,143,143,0.3955045948981905,0.4415165498700056,0.2282997282997283,0.6006721006721006,6.516445016445016,0.03750654987000562,0.046011954971815094
I1,"0,2,15",456,63,0.03,1079,143,143,0.4212442476669977,0.44139978719185224,0.27345202345202346,0.666988416988417,5.481660231660232,0.037389787191852264,0.02015553952485455
E2,"0,2,15",456,128,0.03,484,143,143,0.4208346655037956,0.4413556813885577,0.27352352352352355,0.6664164164164165,5.488488488488488,0.037345681388557705,0.020521015884762073
